Horario;Dia;Data;Clube 1;Clube 2;Vencedor;Rodada;Arena;p1;p2;C1 Estado;C2 Estado;Vencedor Estado
16h00;Sábado;29/07/2000;Vasco;Sport;Sport;1ª Rodada;São Januário;0;2;RJ;PE;PE
16h00;Sábado;29/07/2000;Vitória;Palmeiras;Vitória;1ª Rodada;Barradão;4;1;ES;SP;ES
16h00;Sábado;29/07/2000;Fluminense;Bahia;Fluminense;1ª Rodada;Maracanã;2;0;RJ;BH;RJ
16h00;Domingo;30/07/2000;América-MG;Gama;Gama;1ª Rodada;Independência;0;1;MG;DF;DF
16h00;Domingo;30/07/2000;Guarani;Santa Cruz;-;1ª Rodada;Brinco de Ouro;0;0;SP;PE;Empate
17h00;Domingo;30/07/2000;Cruzeiro;Atlético-PR;Atlético-PR;1ª Rodada;Mineirão;0;2;MG;PR;PR
17h00;Domingo;30/07/2000;Botafogo;Atlético-MG;-;1ª Rodada;Caio Martins;0;0;RJ;MG;Empate
18h30;Domingo;30/07/2000;Goiás;Corinthians;Goiás;1ª Rodada;Serra Dourada;3;0;GO;SP;GO
18h30;Domingo;30/07/2000;Juventude;Flamengo;-;1ª Rodada;Alfredo Jaconi;1;1;RS;RJ;Empate
20h30;Quarta-feira;02/08/2000;Coritiba;Sport;-;2ª Rodada;Couto Pereira;0;0;PR;PE;Empate
20h30;Quarta-feira;02/08/2000;Gama;Fluminense;Gama;2ª Rodada;Mané Garrincha;2;1;DF;RJ;DF
20h30;Quarta-feira;02/08/2000;Santos;Vitória;Santos;2ª Rodada;Vila Belmiro;2;0;SP;ES;SP
20h30;Quarta-feira;02/08/2000;Bahia;Atlético-PR;Bahia;2ª Rodada;Fonte Nova;2;1;BH;PR;BH
20h30;Quarta-feira;02/08/2000;Ponte Preta;América-MG;Ponte Preta;2ª Rodada;Moisés Lucarelli;3;1;SP;MG;SP
20h30;Quarta-feira;02/08/2000;Internacional;Goiás;Goiás;2ª Rodada;Beira-Rio;0;1;RS;GO;GO
21h40;Quarta-feira;02/08/2000;Flamengo;Grêmio;Flamengo;2ª Rodada;Maracanã;3;0;RJ;RS;RJ
20h30;Quinta-feira;03/08/2000;Palmeiras;Botafogo;-;2ª Rodada;Pq. Antarctica;0;0;SP;RJ;Empate
16h00;Sábado;05/08/2000;Atlético-PR;Flamengo;-;3ª Rodada;Joaquim Américo;1;1;PR;RJ;Empate
16h00;Sábado;05/08/2000;Fluminense;Santos;Fluminense;3ª Rodada;Maracanã;2;1;RJ;SP;RJ
18h00;Sábado;05/08/2000;Corinthians;Gama;Corinthians;3ª Rodada;Canindé;4;2;SP;DF;SP
16h00;Domingo;06/08/2000;Portuguesa;Goiás;Goiás;3ª Rodada;Canindé;0;2;SP;GO;GO
16h00;Domingo;06/08/2000;Atlético-MG;Bahia;-;3ª Rodada;Mineirão;0;0;MG;BH;Empate
16h00;Domingo;06/08/2000;Juventude;Ponte Preta;-;3ª Rodada;Alfredo Jaconi;1;1;RS;SP;Empate
17h00;Domingo;06/08/2000;São Paulo;Santa Cruz;São Paulo;3ª Rodada;Morumbi;2;1;SP;PE;SP
17h00;Domingo;06/08/2000;Vasco;Cruzeiro;-;3ª Rodada;São Januário;3;3;RJ;MG;Empate
18h30;Domingo;06/08/2000;Grêmio;Palmeiras;Palmeiras;3ª Rodada;Olímpico;0;1;RS;SP;SP
18h30;Domingo;06/08/2000;Coritiba;Botafogo;Botafogo;3ª Rodada;Couto Pereira;0;2;PR;RJ;RJ
20h30;Quarta-feira;09/08/2000;Gama;Atlético-PR;Atlético-PR;4ª Rodada;Mané Garrincha;0;1;DF;PR;PR
20h30;Quarta-feira;09/08/2000;Santos;São Paulo;-;4ª Rodada;Vila Belmiro;1;1;SP;SP;Empate
20h30;Quarta-feira;09/08/2000;Flamengo;Guarani;-;4ª Rodada;Maracanã;1;1;RJ;SP;Empate
20h30;Quarta-feira;09/08/2000;Botafogo;Portuguesa;Botafogo;4ª Rodada;Caio Martins;4;1;RJ;SP;RJ
20h30;Quarta-feira;09/08/2000;Santa Cruz;Vitória;Santa Cruz;4ª Rodada;Arruda;2;1;PE;ES;PE
20h30;Quarta-feira;09/08/2000;Goiás;Coritiba;Goiás;4ª Rodada;Serra Dourada;1;0;GO;PR;GO
20h30;Quarta-feira;09/08/2000;Bahia;Grêmio;-;4ª Rodada;Fonte Nova;1;1;BH;RS;Empate
21h40;Quarta-feira;09/08/2000;Internacional;Fluminense;-;4ª Rodada;Beira-Rio;1;1;RS;RJ;Empate
20h30;Sexta-feira;11/08/2000;Vasco;Corinthians;Vasco;5ª Rodada;São Januário;1;0;RJ;SP;RJ
20h30;Sexta-feira;11/08/2000;Palmeiras;Goiás;-;5ª Rodada;Pq. Antarctica;1;1;SP;GO;Empate
20h30;Sexta-feira;11/08/2000;Atlético-PR;Atlético-MG;Atlético-PR;5ª Rodada;Joaquim Américo;2;1;PR;MG;PR
16h00;Sábado;12/08/2000;Coritiba;Gama;Gama;6ª Rodada;Couto Pereira;0;1;PR;DF;DF
18h00;Sábado;12/08/2000;Grêmio;Santos;Santos;6ª Rodada;Olímpico;0;2;RS;SP;SP
18h00;Sábado;12/08/2000;São Paulo;Flamengo;São Paulo;6ª Rodada;Morumbi;3;2;SP;RJ;SP
16h00;Domingo;13/08/2000;Portuguesa;Juventude;Portuguesa;6ª Rodada;Canindé;2;0;SP;RS;SP
16h00;Domingo;13/08/2000;Goiás;Vitória;Vitória;6ª Rodada;Serra Dourada;4;5;GO;ES;ES
17h00;Domingo;13/08/2000;Corinthians;Santa Cruz;Corinthians;6ª Rodada;Pacaembu;2;0;SP;PE;SP
17h00;Domingo;13/08/2000;Botafogo;Internacional;Internacional;6ª Rodada;Maracanã;0;1;RJ;RS;RS
18h30;Domingo;13/08/2000;Atlético-PR;Palmeiras;-;6ª Rodada;Joaquim Américo;0;0;PR;SP;Empate
18h30;Domingo;13/08/2000;Guarani;Vasco;Vasco;6ª Rodada;Brinco de Ouro;0;1;SP;RJ;RJ
18h30;Domingo;13/08/2000;Sport;Cruzeiro;-;6ª Rodada;Ilha do Retiro;1;1;PE;MG;Empate
20h30;Quarta-feira;16/08/2000;Vitória;Portuguesa;Vitória;7ª Rodada;Barradão;2;0;ES;SP;ES
20h30;Quarta-feira;16/08/2000;Goiás;Botafogo;Goiás;7ª Rodada;Serra Dourada;3;2;GO;RJ;GO
20h30;Quarta-feira;16/08/2000;Internacional;Atlético-MG;-;7ª Rodada;Beira-Rio;1;1;RS;MG;Empate
20h30;Quarta-feira;16/08/2000;Fluminense;Guarani;-;7ª Rodada;Laranjeiras;0;0;RJ;SP;Empate
20h30;Quarta-feira;16/08/2000;Santos;América-MG;Santos;7ª Rodada;Vila Belmiro;3;0;SP;MG;SP
20h30;Quarta-feira;16/08/2000;Palmeiras;Corinthians;Corinthians;7ª Rodada;Morumbi;0;1;SP;SP;SP
20h30;Quarta-feira;16/08/2000;Gama;Bahia;Bahia;7ª Rodada;Mané Garrincha;0;1;DF;BH;BH
22h00;Quarta-feira;16/08/2000;Cruzeiro;São Paulo;-;7ª Rodada;Mineirão;2;2;MG;SP;Empate
22h00;Quarta-feira;16/08/2000;Santa Cruz;Vasco;-;7ª Rodada;Arruda;1;1;PE;RJ;Empate
20h30;Quinta-feira;17/08/2000;Flamengo;Coritiba;Flamengo;7ª Rodada;Maracanã;2;1;RJ;PR;RJ
15h45;Sábado;19/08/2000;Atlético-MG;Santos;Atlético-MG;8ª Rodada;Mineirão;1;0;MG;SP;MG
15h45;Sábado;19/08/2000;América-MG;Fluminense;-;8ª Rodada;Independência;1;1;MG;RJ;Empate
16h00;Sábado;19/08/2000;Guarani;Cruzeiro;Cruzeiro;8ª Rodada;Brinco de Ouro;0;1;SP;MG;MG
